uid,drinkPrice,drinkImage,drinkName,
100,3.3,d5,Doble,
100,7,d1,Tanqueray,
100,7,d2,Beefeater,
100,7,d3,Brugal,
100,7,d6,Seagram's,
100,8,d7,Bombay Sapphire,
100,7,d8,Barceló,
100,7,d9,Santa Teresa,
100,7,d10,Cacique,
100,7,d12,Johnnie Walker Red,
100,7,d14,Absolut,
100,9,d15,Nordés,
100,9,d16,Bulldog,
100,10,d17,Hendrick's,
100,8,d21,Johnnie Walker Black,
253,1,5,d4,Caña
253,2,5,d5,Doble
253,6,d1,Tanqueray,
253,-,d2,Beefeater,
253,6,d3,Brugal,
253,6,d6,Seagram's,
253,6,d8,Barceló,
253,6,d12,Johnnie Walker Red,
253,6,d14,Absolut,
253,6,d27,Dyc,
122,,dd1,Tanqueray,
122,,dd2,Beefeater,
122,12,dd3,Brugal,
122,4,d4,Caña,
122,5,d5,Doble,
122,12,d7,Bombay Sapphire,
122,12,d16,Bulldog,
122,17,d21,Johnnie Walker Black,
122,12,d22,Jack Daniel's,
122,16,d23,Grey Goose,
122,16,d24,Belvedere,
97,-,d4,Caña,
97,4,d5,Doble,
97,-,d1,Tanqueray,
97,-,d2,Beefeater,
97,-,d3,Brugal,
97,12,d15,Nordés,
97,13,d19,Brockman's,
243,2.8,d4,Caña,
243,4,d5,Doble,
243,9,d1,Tanqueray,
243,9,d2,Beefeater,
243,9,d3,Brugal,
243,9,d6,Seagram's,
243,9,d7,Bombay Sapphire,
243,9,d8,Barceló,
243,9,d9,Santa Teresa,
243,9,d10,Cacique,
243,9,d12,Johnnie Walker Red,
243,9,d13,J&B,
243,9,d14,Absolut,
243,12.5,d15,Nordés,
243,9,d16,Bulldog,
243,12.5,d17,Hendrick's,
243,12.5,d18,Martin Miller's,
243,12.5,d19,Brockman's,
243,12.5,d21,Johnnie Walker Black,
243,12.5,d23,Grey Goose,
73,-,d4,Caña,
73,-,d5,Doble,
73,7.5,d1,Tanqueray,
73,7.5,d2,Beefeater,
73,7.5,d3,Brugal,
73,7.5,d6,Seagram's,
272,-,d4,Caña,
272,3.2,d5,Doble,
272,8,d1,Tanqueray,
272,8,d2,Beefeater,
272,8,d3,Brugal,
272,9,d7,Bombay Sapphire,
272,8,d8,Barceló,
272,8,d9,Santa Teresa,
272,8,d12,Johnnie Walker Red,
272,8,d13,J&B,
272,9,d15,Nordés,
272,9,d16,Bulldog,
272,9,d17,Hendrick's,
272,9,d18,Martin Miller's,
272,9,d21,Johnnie Walker Black,
272,7,d25,Larios,
272,7,d26,Negrita,
272,7,d27,Dyc,
28,3,d4,Caña,
28,4,d5,Doble,
